 i want to fly from boston at 838 am and arrive in denver at 1110 in the morning,atis_flight
 what flights are available from pittsburgh to baltimore on thursday morning,atis_flight
 what is the arrival time in san francisco for the 755 am flight leaving washington,atis_flight_time
 cheapest airfare from tacoma to orlando,atis_airfare
 round trip fares from pittsburgh to philadelphia under 1000 dollars,atis_airfare
 i need a flight tomorrow from columbus to minneapolis,atis_flight
 what kind of aircraft is used on a flight from cleveland to dallas,atis_aircraft
 show me the flights from pittsburgh to los angeles on thursday,atis_flight
 all flights from boston to washington,atis_flight
 what kind of ground transportation is available in denver,atis_ground_service
 show me the flights from dallas to san francisco,atis_flight
 show me the flights from san diego to newark by way of houston,atis_flight
 what is the cheapest flight from boston to bwi,atis_flight
 all flights to baltimore after 6 pm,atis_flight
 show me the first class fares from boston to denver,atis_airfare
 show me the ground transportation in denver,atis_ground_service
 all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,atis_flight
 i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,atis_flight
 please give me the flights from boston to pittsburgh on thursday of next week,atis_flight
 i would like to fly from denver to pittsburgh on united airlines,atis_flight
 show me the flights from san diego to newark,atis_flight
 please list all first class flights on united from denver to baltimore,atis_flight
 what kinds of planes are used by american airlines,atis_aircraft
 i'd like to have some information on a ticket from denver to pittsburgh and atlanta,atis_airfare
 i'd like to book a flight from atlanta to denver,atis_flight
 which airline serves denver pittsburgh and atlanta,atis_airline
 show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm,atis_flight
 atlanta ground transportation,atis_ground_service
 i also need service from dallas to boston arriving by noon,atis_flight
 show me the cheapest round trip fare from baltimore to dallas,atis_airfare
 show me all flights from new york to milwaukee on northwest airlines departing at 720 am,atis_flight
 flights from new york to miami,atis_flight
 please find a flight on delta from philadelphia to san francisco and give me the flight numbers,atis_flight
 i need a flight from dallas to san francisco,atis_flight
 fares and flights from pittsburgh to philadelphia,atis_airfare
 show me the airlines with first class flights,atis_airline
 what are the flights from st. louis to burbank sunday evening,atis_flight
 i'd like to arrange a flight from pittsburgh to atlanta,atis_flight
 show flights from baltimore to san francisco between 6 pm and 8 pm on friday,atis_flight
 i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,atis_flight
 which airline has the most arrivals in atlanta,atis_airline
 what airlines fly from new york to milwaukee to los angeles,atis_airline
 pittsburgh to denver,atis_flight
 which airlines serve atlanta,atis_airline
 show me information on ground transportation for dallas,atis_ground_service
 what is fare code h,atis_abbreviation
 show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,atis_flight
 i need a flight from charlotte to newark leaving today evening,atis_flight
 what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,atis_flight_time
 flights from newark to cleveland,atis_flight
 what flights go from boston to pittsburgh after 6 o'clock next tuesday,atis_flight
 does us air have any flights out of atlanta to denver,atis_flight
 what is booking class c,atis_abbreviation
 i'd like to know the shortest trip between boston and san francisco,atis_flight
 i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,atis_flight
 what is the least expensive flight from denver to atlanta,atis_flight
 i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,atis_flight
 what flight goes from denver to baltimore first class on united airlines arriving on may seventh,atis_flight
 could you please tell me the airlines that fly from toronto to san diego,atis_airline
 what flights do you have from burbank to tacoma washington,atis_flight
 what is the ground transportation from philadelphia airport to the city proper,atis_ground_service
 which airlines have first class flights today,atis_airline
 find the latest flight from san francisco to atlanta that serves a meal,atis_flight
 i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,atis_flight
 show me flights from boston to denver on wednesday,atis_flight
 show me the flights from boston to baltimore,atis_flight
 what does fare code q mean,atis_abbreviation
 please give me the flights from san francisco to washington dc,atis_flight
 i need information from denver to pittsburgh,atis_flight
 from seattle to salt lake city,atis_flight
 what is the earliest flight from boston to bwi that serves a snack,atis_flight
 what types of aircraft does delta fly,atis_aircraft
 what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth,atis_airfare
 give me the flights leaving denver august ninth coming back to boston,atis_flight
 list all the flights that fly into general mitchell international,atis_flight
 what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday,atis_flight
 list all flights from indianapolis to seattle,atis_flight
 in flight meal oakland to philadelphia saturday,atis_flight
 show me the flights on twa from atlanta in the morning,atis_flight
 i want to find the first flight from baltimore to boston that serves a meal,atis_flight
 of all airlines which airline has the most arrivals in atlanta,atis_airline
 display all flights from baltimore to boston on july twenty ninth,atis_flight
 i want to travel from atlanta to baltimore early in the morning first flight,atis_flight
 i now need a flight from san jose to houston leaving on sunday the fourth,atis_flight
 what are the flights available after 6 pm between san francisco and boston,atis_flight
 what flights depart baltimore on friday and arrive in san francisco by 8 pm,atis_flight
 show me flights from boston to san francisco,atis_flight
 list the delta airlines flights from boston to philadelphia,atis_flight
 show me the fares from dallas to san francisco,atis_airfare
 what nonstop flights between boston and washington arrive after 4 o'clock pm,atis_flight
 ground transportation in san jose,atis_ground_service
